0.85,0.93,0.47,329.24,0.1,7.59,0.93,0.39,7.75,2.77,2.53,0.77,0.86,0.7,9.1
0.66,0.56,6.99,378.35,0.76,4.46,0.56,0.5,5.88,0.73,2.82,0.81,0.75,0.74,27.62
0.7,0.06,2.44,105.24,0.62,6.91,0.06,0.01,8.3,2.79,2.82,0.68,0.32,0.99,4.07
0.75,0.76,9.48,633.96,0.75,1.17,0.76,0.15,9.63,0.51,2.63,0.31,0.98,0.37,17.02
0.81,0.79,0.5,554.5,0.55,2.96,0.79,0.42,1.98,0.97,1.24,0.32,0.73,0.43,18.61
0.8,0.88,9.63,466.08,0.88,5.91,0.88,0.15,7.49,0.82,1.51,0.66,0.99,0.58,18.36
0.83,0.12,3.53,166.77,0.28,7.32,0.12,0.38,3.87,2.5,0.71,0.42,0.5,0.42,10.25
0.78,0.94,7.36,498.43,0.72,7.02,0.94,0.03,8.85,0.98,1.68,0.56,0.53,0.8,29.18
0.82,0.86,9.74,48.39,0.58,5.37,0.86,0.82,5.03,0.64,1.61,0.68,0.71,0.25,12.38
0.75,0.72,4.45,395.06,0.97,0.9,0.72,0.66,4.78,2.06,2.64,0.69,0.5,0.4,25.66
0.83,0.18,0.33,165.43,0.44,5.89,0.18,0.71,3.56,2.15,2.56,0.59,0.89,0.71,12.57
0.68,0.61,0.61,566.36,0.7,0.7,0.61,0.45,1.87,2.81,2.4,0.39,0.32,0.96,2.48
0.61,0.7,4.68,0.31,0.37,4.03,0.7,0.7,8.58,2.2,1.34,0.35,0.65,0.44,7.56
0.64,0.51,8.36,224.04,0.48,3.98,0.51,0.05,1.52,1.6,1.64,0.72,0.36,0.86,13.08
0.62,0.3,9.07,226.93,0.52,9.38,0.3,0.41,4.9,0.6,1.63,0.95,0.9,0.91,4.15
0.77,0.35,4.76,412.02,0.52,1.24,0.35,0.96,8.03,1.95,1.05,0.97,0.44,0.61,8.22
0.75,0.85,3.73,541.26,0.54,1.39,0.85,0.88,4.2,0.33,2.12,0.95,0.67,0.68,1.56
0.75,0.75,6.42,457.61,0.54,8.07,0.75,0.33,6.36,2.91,1.27,0.48,0.44,0.38,0.14
0.71,0.32,1.81,46.48,0.05,8.41,0.32,0.03,4.33,1.7,2.78,0.57,0.47,0.49,9.79
0.79,0.84,0.12,482.04,0.29,8.42,0.84,0.88,3.35,1.6,1.88,0.48,0.88,0.95,22.74
0.82,0.7,3.58,384.6,0.52,0.05,0.7,0.97,9.47,0.54,1.68,0.46,0.93,0.11,11.74
0.66,0.62,0.9,632.61,0.93,5.94,0.62,0.52,5.91,1.64,1.52,0.96,0.49,0.87,23.11
0.63,0.54,5.81,243.7,0.91,3.63,0.54,0.69,6.26,1.14,2.39,0.83,0.57,0.88,29.58
0.63,0.21,5.23,269.85,0.1,1.08,0.21,0.72,2.31,2.16,1.18,0.78,0.34,0.1,21.81
0.72,0.18,1.81,402.06,0.1,6.9,0.18,0.66,7.87,1.37,2.39,0.63,0.88,0.83,1.3
0.61,0.89,4.45,554.67,0.13,8.17,0.89,0.09,0.02,2.4,2.44,0.48,0.52,0.22,25.54
0.69,0.93,6.84,24.67,0.69,1.4,0.93,0.72,5.4,2.45,1.37,0.5,0.52,0.68,14.04
0.76,0.51,2.1,595.2,0.37,2.01,0.51,0.53,0.51,1.02,2.38,0.32,0.68,0.35,24.54
0.73,0.12,0.45,402.9,0.62,1.88,0.12,0.04,4.38,2.27,1.67,0.98,0.95,0.99,21.64
0.79,0.92,7.74,71.13,0.76,1.04,0.92,0.97,3.01,1.52,0.89,0.53,0.74,0.79,28.73
0.65,0.36,9.85,580.89,0.35,2.6,0.36,0.94,5.16,1.68,2.15,0.43,0.51,0.65,6.66
0.64,0.69,0.35,573.03,0.58,9.29,0.69,0.02,3.1,1.96,0.48,0.94,0.54,0.74,5.63
0.64,0.58,5.29,456.67,0.54,5.87,0.58,0.38,1.31,1.63,2.89,0.39,0.93,0.27,8.47
0.82,0.59,8.72,615,0.81,3.09,0.59,0.23,8.59,0.72,2.14,0.59,0.41,0.75,27.72
0.78,0.34,2.68,683.93,0.55,4.59,0.34,0.67,9.33,0.37,2.42,0.43,0.4,0.28,11.94
0.63,0.98,2.01,647.71,0.76,3.97,0.98,0.02,7.6,2.76,0.77,0.51,0.49,0.32,26.76
0.62,0.63,2.33,359.14,0.37,9.11,0.63,0.69,0.96,2.15,2.19,0.46,0.79,0.88,8.6
0.68,0.7,7.88,144.68,0.7,0.79,0.7,0.72,2.51,2.6,1.95,0.43,0.47,0.71,17.85
0.73,0.96,8.55,644.19,0.94,0.32,0.96,0.68,8.18,0.59,0.91,0.68,0.52,0.35,28.91
0.73,0.89,4.4,678.91,0.85,3.46,0.89,0.58,0.61,2.11,2.25,0.8,0.5,0.08,11.61
0.8,0.61,7.08,493.89,0.14,7.83,0.61,0.7,5.94,2.91,1.68,0.32,0.67,0.85,2.53
0.66,0.91,0.14,312.47,0.68,3.97,0.91,0.45,0.46,2.17,0.91,0.83,0.63,0.34,4.18
0.74,0.24,7.43,270.83,0.29,7.52,0.24,0.1,7.25,2.22,0.87,0.59,0.31,0.64,14.42
0.72,0.87,7.35,418.01,0.64,4.72,0.87,0.33,7.17,0.85,2.08,0.42,0.3,0.35,28.82
0.6,0.15,8.68,63.4,0.37,2.18,0.15,0.17,2.48,1.96,1.7,1,0.79,0.29,16.67
0.79,0.37,3.41,625.7,0.23,9.6,0.37,0.96,4.39,0.9,1.35,0.61,0.6,0.59,14.28
0.61,0.87,1.66,560.48,0.53,2.44,0.87,0.28,5.6,2.86,2.33,0.51,0.45,0.19,28.28
0.69,0.47,0.27,56.26,0.2,0.02,0.47,0.13,7.92,2.49,0.73,0.63,0.98,0.51,12.75
0.64,0.4,9.2,545.51,0.49,6.12,0.4,0.51,5.21,2.57,1.98,0.71,0.38,0.08,25.21
0.71,0.9,1.6,285.44,0.91,9.21,0.9,0.79,1.21,2.45,0.94,0.3,0.57,0.39,29.03
0.62,0.26,5.44,546.77,0.79,1.3,0.26,0.68,2.28,1.7,1.37,0.7,0.89,1,16.72
0.8,0.62,7.83,226.78,0.51,1.21,0.62,0.76,0.63,2.86,1.06,0.52,0.95,0.49,23.46
0.8,0.66,3.13,271.29,0.27,2.2,0.66,0.18,1.36,0.31,0.92,0.76,0.86,0.87,20
0.72,0.44,4.69,675.32,0.54,0.6,0.44,0.6,0.39,2.09,1.71,0.39,0.99,0.62,29.3
0.62,0.19,6.27,166.89,0.38,8.95,0.19,0.61,1.8,2.86,2.92,0.95,0.3,0.73,28.47
0.61,0.61,4.87,19.09,0.34,7.85,0.61,0.32,9.53,0.72,0.6,0.94,0.76,0.56,26.67
0.64,0.15,7.82,375.25,0.67,3.32,0.15,0.82,6.05,0.87,2.19,0.86,0.31,0.16,16.15
0.82,0.11,1.66,27.43,0.39,3.8,0.11,0.29,3.98,2.78,2.58,0.83,0.82,0.03,14.91
0.77,0.18,7.4,143.42,0.95,5.63,0.18,0.15,2.9,1,1.94,0.37,0.98,0.57,19.98
0.71,0.51,0.76,658.14,0.12,7.96,0.51,0.03,9.14,1.85,0.34,0.39,0.48,0.31,1.94
