0.75,4.96,349.96,349.96,4.96,4.96,4.96,50.12,299.96,2.51,2.51,2.51,2.51,0.51,15
0.88,2.48,524.93,174.98,7.44,2.48,7.44,25.19,149.98,3.76,1.26,3.76,1.26,0.76,7.5
0.62,7.44,174.98,524.93,2.48,7.44,2.48,75.06,449.93,1.26,3.76,1.26,3.76,0.26,22.5
0.69,3.72,437.45,87.5,8.67,8.67,1.25,62.59,75,4.38,1.88,3.13,0.64,0.38,18.75
0.94,8.67,87.5,437.45,3.72,3.72,6.2,12.72,374.95,1.88,4.38,0.64,3.13,0.88,3.75
0.81,1.25,262.47,262.47,1.25,6.2,8.67,87.53,224.97,0.64,0.64,1.88,1.88,0.64,26.25
0.56,6.2,612.42,612.42,6.2,1.25,3.72,37.66,524.92,3.13,3.13,4.38,4.38,0.14,11.25
0.59,3.1,218.73,481.19,5.58,1.87,0.63,93.77,112.49,0.32,3.45,4.07,2.82,0.7,5.62
0.84,8.05,568.68,131.24,0.63,6.82,5.58,43.89,412.44,2.82,0.95,1.57,0.32,0.2,20.62
0.97,0.63,393.7,656.17,3.1,4.34,8.05,68.83,262.47,4.07,4.7,0.32,4.07,0.45,13.12
0.72,5.58,43.75,306.22,8.05,9.29,3.1,18.95,562.42,1.57,2.2,2.82,1.57,0.95,28.12
0.66,1.87,656.17,393.7,4.34,8.05,1.87,31.42,37.5,4.7,4.07,2.2,3.45,0.82,16.88
0.91,6.82,306.22,43.75,9.29,3.1,6.82,81.3,337.45,2.2,1.57,4.7,0.95,0.32,1.88
0.78,4.34,131.24,568.68,6.82,5.58,9.29,6.48,187.48,0.95,2.82,3.45,4.7,0.07,24.38
0.53,9.29,481.19,218.73,1.87,0.63,4.34,56.36,487.43,3.45,0.32,0.95,2.2,0.57,9.38
0.55,4.65,590.55,284.34,2.79,3.41,5.27,84.41,468.68,2.04,2.04,4.23,4.23,0.17,23.44
0.8,9.6,240.6,634.29,7.74,8.36,0.32,34.54,168.73,4.54,4.54,1.73,1.73,0.67,8.44
0.92,2.18,65.63,109.37,5.27,0.94,2.79,59.48,318.71,3.29,0.79,0.48,2.98,0.92,15.94
0.67,7.13,415.58,459.32,0.32,5.89,7.74,9.6,18.76,0.79,3.29,2.98,0.48,0.42,0.94
0.73,0.94,328.09,196.86,6.51,7.13,6.51,47.01,543.67,2.67,0.17,2.35,4.85,0.29,12.19
0.98,5.89,678.04,546.81,1.56,2.18,1.56,96.88,243.72,0.17,2.67,4.85,2.35,0.79,27.19
0.86,3.41,503.06,21.88,4.03,9.6,4.03,22.07,393.69,1.42,1.42,3.6,3.6,0.54,4.69
0.61,8.36,153.11,371.83,8.98,4.65,8.98,71.95,93.74,3.92,3.92,1.1,1.1,0.04,19.69
0.58,1.56,371.83,590.55,8.36,4.03,5.89,15.84,581.16,2.35,4.23,0.17,1.42,0.6,29.06
0.83,6.51,21.88,240.6,3.41,8.98,0.94,65.71,281.21,4.85,1.73,2.67,3.92,0.1,14.06
0.95,4.03,196.86,415.58,0.94,1.56,3.41,40.77,431.19,3.6,2.98,3.92,0.17,0.35,21.56
0.7,8.98,546.81,65.63,5.89,6.51,8.36,90.65,131.24,1.1,0.48,1.42,2.67,0.85,6.56
0.64,2.79,109.37,678.04,2.18,5.27,7.13,53.24,506.18,2.98,3.6,3.29,2.04,0.98,10.31
0.89,7.74,459.32,328.09,7.13,0.32,2.18,3.37,206.23,0.48,1.1,0.79,4.54,0.48,25.31
0.77,0.32,634.29,503.06,9.6,7.74,4.65,78.18,356.2,1.73,4.85,2.04,0.79,0.23,2.81
0.52,5.27,284.34,153.11,4.65,2.79,9.6,28.3,56.25,4.23,2.35,4.54,3.29,0.73,17.81
0.52,2.64,426.51,404.64,6.97,6.35,2.64,67.27,346.83,0.24,1.03,0.71,1.81,0.18,3.28
