0.5,5.05,350.05,350.05,5.05,350.05,2.125,350.05,5.05,2.1,2.1,2.6,2.6,0.6,50.1
0.7,2.575,525.025,175.075,7.525,175.075,3.0625,175.075,2.575,3.1,1.1,3.85,1.35,0.85,25.1
0.3,7.525,175.075,525.025,2.575,525.025,1.1875,525.025,7.525,1.1,3.1,1.35,3.85,0.35,75.1
0.4,3.8125,437.5375,87.5875,8.7625,612.5125,0.71875,437.5375,1.3375,3.6,1.6,3.225,0.725,0.475,62.6
0.8,8.7625,87.5875,437.5375,3.8125,262.5625,2.59375,87.5875,6.2875,1.6,3.6,0.725,3.225,0.975,12.6
0.6,1.3375,262.5625,262.5625,1.3375,437.5375,3.53125,612.5125,3.8125,0.6,0.6,1.975,1.975,0.725,87.6
0.2,6.2875,612.5125,612.5125,6.2875,87.5875,1.65625,262.5625,8.7625,2.6,2.6,4.475,4.475,0.225,37.6
0.25,3.19375,218.81875,481.28125,5.66875,131.33125,0.484375,656.25625,1.95625,0.35,2.85,4.1625,2.9125,0.7875,18.85
0.65,8.14375,568.76875,131.33125,0.71875,481.28125,2.359375,306.30625,6.90625,2.35,0.85,1.6625,0.4125,0.2875,68.85
0.85,0.71875,393.79375,656.25625,3.19375,306.30625,3.296875,481.28125,4.43125,3.35,3.85,0.4125,4.1625,0.5375,43.85
0.45,5.66875,43.84375,306.30625,8.14375,656.25625,1.421875,131.33125,9.38125,1.35,1.85,2.9125,1.6625,1.0375,93.85
0.35,1.95625,656.25625,393.79375,4.43125,568.76875,0.953125,218.81875,0.71875,3.85,3.35,2.2875,3.5375,0.9125,56.35
0.75,6.90625,306.30625,43.84375,9.38125,218.81875,2.828125,568.76875,5.66875,1.85,1.35,4.7875,1.0375,0.4125,6.35
0.55,4.43125,131.33125,568.76875,6.90625,393.79375,3.765625,43.84375,3.19375,0.85,2.35,3.5375,4.7875,0.1625,81.35
0.15,9.38125,481.28125,218.81875,1.95625,43.84375,1.890625,393.79375,8.14375,2.85,0.35,1.0375,2.2875,0.6625,31.35
0.175,4.740625,590.640625,284.434375,2.884375,240.690625,2.2421875,590.640625,7.834375,1.725,1.725,4.31875,4.31875,0.25625,78.225
0.575,9.690625,240.690625,634.384375,7.834375,590.640625,0.3671875,240.690625,2.884375,3.725,3.725,1.81875,1.81875,0.75625,28.225
0.775,2.265625,65.715625,109.459375,5.359375,65.715625,1.3046875,415.665625,5.359375,2.725,0.725,0.56875,3.06875,1.00625,53.225
